Application/Permit Number,Permit Type,Status,Category,Expiration Date,Location,Zipcode,Expected Construct Year,Expected Construct Month,Description
6602793,Construction,Permit Issued,MULTIFAMILY,12/16/2018,"1425 S JACKSON ST
(47.59910712, -122.31281864)",98144,2018,12,"Interior alterations to existing triplex (kitchens and baths), subject to field inspection (STFI)."
6602807,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/21/2018,"1526 11TH AVE W
(47.63320247, -122.37142345)",98119,2018,12,"Interior alterations to kitchen and bath in existing single-family residence, subject to field inspection (STFI)"
6602809,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2018,"3725 39TH AVE S
(47.56993404, -122.28428589)",98144,2018,12,"Interior alterations to existing single family residence, subject to field inspection (STFI)"
6602821,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/16/2019,"1601 10TH AVE W
(47.6336725, -122.37069773)",98119,2019,1,Seismic retrofit to unfinished basement of single family residence per Project Impact Drawings.
6602854,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/10/2019,"3223 33RD AVE S
(47.57448886, -122.29128887)",98144,2019,1,"Voluntary seismic retrofit for a single family residence, per plan."
6602865,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2018,"3521 28TH AVE W
(47.65206457, -122.39328288)",98199,2018,12,"Interior alterations to existing single family residence, subject to field inspection (STFI)"
6602866,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"5838 4TH AVE NW
(47.67208243, -122.36159286)",98107,2018,12,"Interior alterations to kitchen and to create bathroom on second floor, subject to field inspection(STFI)."
6602880,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/15/2018,"886 E GWINN PL
(47.64806389, -122.31843843)",98102,2018,12,"Alterations to existing single family residence (kitchen), subject to field inspection (STFI)."
6602901,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"13742 PALATINE AVE N
(47.72993664, -122.35640573)",98133,2018,12,"Alteration and addition to existing single residence, subject to field inspection (STFI)."
6602904,Construction,Permit Issued,COMMERCIAL,12/22/2018,"901 3RD AVE
(47.60505199, -122.33428775)",98104,2018,12,"Blanket Permit for interior non-structural alterations.  Tenant improvement on the 44th floor for ""Harrigan Leyh Farmer & Thomsen"", per plan."
6602916,Construction,Permit Issued,COMMERCIAL,12/15/2018,"110 PREFONTAINE PL S
(47.60159676, -122.32916938)",98104,2018,12,"Tenant improvements to suite #502 of existing office building, subject to field inspection (STFI)."
6602930,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/15/2018,"4821 NE 85TH ST
(47.69034132, -122.27625318)",98115,2018,12,"Alterations to existing single family residence, subject to field inspection (STFI)."
6602952,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/15/2018,"4106 SW FINDLAY ST
(47.55230325, -122.38464757)",98136,2018,12,"Remove and reconstruct porch for single family residence, subject to field inspection."
6602971,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/15/2018,"542 31ST AVE
(47.60743947, -122.29234893)",98122,2018,12,Construct new deck per (STFI)
6602989,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2019,"5126 NE 42ND ST
(47.65904426, -122.27134113)",98105,2019,1,"Construct addition and interior alterations to existing single family residence, subject to field inspection (STFI)."
6602990,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/03/2019,"2126 N 140TH ST
(47.73083858, -122.33306825)",98133,2019,1,"Construct deck for single family residence, subject to field inspection (STFI)."
6602995,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/03/2019,"1515 38TH AVE
(47.61439823, -122.28543333)",98122,2019,1,"Construct interior alterations to existing single family residence (kitchen, dinning room), subject to field inspection (STFI)."
6602997,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"224 M L KING JR WAY E
(47.62098753, -122.29574963)",98112,2018,12,"Construct alterations to existing single family residence, subject to field inspection (STFI)."
6603005,Construction,Permit Issued,COMMERCIAL,01/07/2019,"1301 2ND AVE
(47.60740726, -122.33778279)",98101,2019,1,"Blanket Permit for interior non-structural alterations to the 38th floor. For ZILLOW, per plan."
6603035,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"310 E MERCER ST
(47.6244325, -122.32735511)",98102,2018,12,COnstruct alterations in basement of an exsiting single family residence subject to field inspection (STFI)
6603066,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"7051D LINCOLN PARK WAY SW
(47.53957331, -122.39583743)",98136,2018,12,"Repair and replace in kind rotted deck for a single family residence, subject to field inspection (STFI)"
6603069,Construction,Permit Issued,COMMERCIAL,12/16/2018,"1301 2ND AVE
(47.60740726, -122.33778279)",98101,2018,12,"Tenant improvements to northern area of 13th floor of existing office building, subject to field inspection (STFI)."
6603074,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"6362 SWIFT AVE S
(47.54567541, -122.30610345)",98108,2018,12,"Alterations in basement of single-family residence to create a bathroom, and a bedroom, subject to field inspection (STFI)"
6603108,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"4542C W CRAMER ST
(47.66947186, -122.41472454)",98199,2018,12,"Construct a pergola structure  accessory to a single-family residence, subject to field inspection (STFI)"
6603129,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"4112 NE 103RD PL
(47.70350641, -122.283386)",98125,2018,12,construct alterations to existing single family residence; Subject to field inspection (STFI)
6603141,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"1053 NE 92ND ST
(47.69564973, -122.31529049)",98115,2018,12,"Replace rear deck in kind to single family residence, subject to field inspection (STFI)."
6603167,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"3721 DENSMORE AVE N
(47.65266141, -122.33785396)",98103,2018,12,Construct interior non-structural alterations to existing single family residence subject to field inspection (STFI).
6603190,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"816 NE 95TH ST
(47.69786894, -122.3196073)",98115,2018,12,Construct alterations for basement in existing single family residence subject to field inspection (STFI).
6603198,Construction,Permit Issued,COMMERCIAL,12/26/2018,"1420 5TH AVE
(47.6105508, -122.33467931)",98101,2018,12,"Tenant improvement for commercial building (Suite 3600, northwest corner), subject to field inspection (STFI)."
6603241,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/14/2019,"2137 8TH AVE W
(47.63888329, -122.36795692)",98119,2019,1,"Construct carport for existing single family residence, subject to field inspection (STFI)."
6603328,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2018,"532 31ST AVE
(47.60713144, -122.29236813)",98122,2018,12,"Replace deck in-kind and reconfigure deck stairs to existing single family residence, subject to field inspection (STFI)."
6603366,Construction,Permit Issued,COMMERCIAL,12/20/2018,"1131 SW KLICKITAT WAY
(47.56999133, -122.34704635)",98134,2018,12,Tenant improvements to existing commercial building subject to field inspection (STFI).
6603381,Construction,Permit Issued,MULTIFAMILY,01/10/2019,"323 N 48TH ST
(47.66337859, -122.35438075)",98103,2019,1,Construct fire damage repair to an existing Tri-Plex subject to field inspection (STFI)
6603403,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2018,"7929 RENTON AVE S
(47.53066633, -122.27847655)",98118,2018,12,"Removing existing attached garage, and establish parking space, subject to field inspection (STFI)."
6603424,Construction,Permit Issued,COMMERCIAL,12/23/2018,"400 PINE ST
(47.61192997, -122.33718625)",98101,2018,12,"Interior alterations to display windows of existing commercial building, subject to field inspection (STFI)"
6603433,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2018,"11028 12TH AVE NE
(47.70938795, -122.31488385)",98125,2018,12,Construct workshop accessory to an existing single family residence
6603434,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/10/2019,"3953 SW KENYON ST
(47.53197907, -122.38431826)",98136,2019,1,Construct alterations and addition to existing single family residence subject to field inspection (STFI).
6603465,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2018,"4603 NE 75TH ST
(47.68286745, -122.27841916)",98115,2018,12,Construct alterations to an existing single family residence subject to field inspection (STFI)
6603472,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2018,"3719 MERIDIAN AVE N
(47.65245561, -122.33418714)",98103,2018,12,Construct kitchen alterations and finish basement in an existing single family residence subject to field inspection (STFI)
6603494,Construction,Permit Issued,COMMERCIAL,12/19/2018,"6412 32ND AVE NW
(47.6757111, -122.39818646)",98107,2018,12,Construct alterations (remove awning) to an existing commercial building subject to field inspection (STFI)
6603497,Construction,Permit Issued,COMMERCIAL,12/19/2018,"254 NE 45TH ST
(47.66148753, -122.32597622)",98105,2018,12,"Alterations to cut in a new door in existing commercial space, per (STFI)"
6603560,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/21/2018,"1746 NE 90TH ST
(47.69413188, -122.30748405)",98115,2018,12,"Interior alterations to single family residence, subject to field inspection (STFI)"
6603622,Construction,Permit Issued,MULTIFAMILY,12/20/2018,"4547 8TH AVE NE
(47.66268261, -122.31986058)",98105,2018,12,"Alterations to Duncan Place Condo to replace window sealants and foundation waterproofing, subject to field inspection (STFI)."
6603645,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/18/2019,"5408 42ND AVE SW
(47.55358264, -122.38520943)",98136,2019,1,"Interior alterations to kitchen and laundry room of existing single family residence, subject to field inspection (STFI)"
6603664,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/20/2018,"2630 45TH AVE SW
(47.58027102, -122.38902449)",98116,2018,12,"Interior alterations to basement of existing single family residence, subject to field inspection"
6603698,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/20/2018,"5204 3RD AVE NW
(47.66704662, -122.36047665)",98107,2018,12,"Interior kitchen remodel for single family residence, subject to field inspection"
6603704,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/21/2018,"4012 32ND AVE W
(47.65623418, -122.39799387)",98199,2018,12,Construct repairs (in-kind) on an existing single family residence subject to field inspection (STFI)
6603763,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/20/2018,"1378 33RD AVE S
(47.59026174, -122.29022507)",98144,2018,12,"Construct interior alterations to existing single family residence, per (STFI)"
6603777,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/20/2018,"211 32ND AVE E
(47.62055335, -122.29150963)",98112,2018,12,"Alterations to master bedroom on main floor and laundry in basement of single family residence, subject to field inspection."
6603823,Construction,Permit Issued,COMMERCIAL,01/17/2019,"701 5TH AVE
(47.60454089, -122.33073506)",98104,2019,1,"Blanket Permit for interior non-structural alterations.  Tenant improvement on the 11th floor, suite 1160, for ""Sojitz"", per plan."
6603833,Construction,Permit Issued,COMMERCIAL,12/30/2018,"720 OLIVE WAY
(47.61418477, -122.33486766)",98101,2018,12,"Blanket Permit for interior non-structural alterations.  Tenant improvement on 6th floor (Vacant - Market Ready Suite), per plan."
6603891,Construction,Permit Issued,COMMERCIAL,12/21/2018,"6301 65TH AVE NE
(47.67401533, -122.25854823)",98115,2018,12,"Interior tenant improvement to existing commercial space, subject to field inspection (STFI)."
6603974,Construction,Permit Issued,COMMERCIAL,01/20/2019,"505 5TH AVE S
(47.59865997, -122.32855763)",98104,2019,1,Blanket Permit for interior non-structural alterations. floors 4 & 5 per plans
6603984,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/21/2018,"7546 ROOSEVELT WAY NE
(47.68450559, -122.31722655)",98115,2018,12,"Interior alterations to kitchen and construct deck for existing single family residence, subject to field inspection (STFI)"
6603985,Construction,Permit Issued,COMMERCIAL,12/21/2018,"720 OLIVE WAY
(47.61418477, -122.33486766)",98101,2018,12,"Construct bathroom remodels at existing office building at the 6th floor, subject to field inspection (STFI)."
6604004,Construction,Permit Issued,MULTIFAMILY,12/21/2018,"8700C MARY AVE NW
(47.69259541, -122.37498998)",98117,2018,12,"Contruct pergola over hot tub, subject to field inspeciton (STFI)."
6604035,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/21/2018,"327 M L KING JR WAY
(47.60504954, -122.29713206)",98122,2018,12,"Alterations to enclose existing carport, per (STFI)"
6604058,Construction,Permit Issued,INSTITUTIONAL,12/21/2018,"425 PONTIUS AVE N
(47.62269933, -122.33225117)",98109,2018,12,"Remove partial height walls to ste # 345 in institutional building, subject to field inspection (STFI)."
6604104,Construction,Permit Issued,COMMERCIAL,01/02/2019,"1300 5TH AVE
(47.60932305, -122.33389853)",98101,2019,1,"Blanket Permit for interior non-structural alterations.Tenant improvement for Unico on floor 2, per plan."
6604105,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/26/2018,"7047 EARL AVE NW
(47.68086621, -122.39229151)",98117,2018,12,"Interior alterations to kitchen of existing single family residence, subject to field inspection (STFI)"
6604121,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2019,"7324 SEWARD PARK AVE S
(47.53624541, -122.26701227)",98118,2019,1,"Installation of pre-fabricated shed to existing single family residence, subject to field inspection (STFI)."
6604192,Construction,Permit Issued,COMMERCIAL,01/12/2019,"705 5TH AVE S
(47.59634748, -122.32808465)",98104,2019,1,Blanket Permit for interior non-structural alterations.  Floor 4 & 5 per plans.
6604209,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/22/2018,"100 NW 55TH ST
(47.66893425, -122.35729626)",98107,2018,12,"Construct shed, subject to field inspection (STFI)"
6604234,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/17/2019,"12423 20TH AVE NE
(47.71863083, -122.30759483)",98125,2019,1,Construct alterations in first level of an existing single family residence subject to field inspection (STFI)
6604259,Construction,Permit Issued,COMMERCIAL,12/30/2018,"601 UNION ST
(47.610431, -122.33207691)",98101,2018,12,"Blanket Permit for interior non-structural alterations. Floor 32 Frazier, per plans."
6604265,Construction,Permit Issued,COMMERCIAL,12/22/2018,"1818 N 85TH ST
(47.69068109, -122.33569268)",98103,2018,12,"Relocate existing parking to existing single family residence, subject to field inspection (STFI)."
6604301,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/29/2018,"8018 10TH AVE NW
(47.68749834, -122.36907556)",98117,2018,12,Construct interior alterations to an exsiting single family residence subject to field inspection (STFI)
6604312,Construction,Permit Issued,COMMERCIAL,12/22/2018,"217 BROADWAY E
(47.62028111, -122.32130515)",98102,2018,12,"Interior alterations (soft demo associated with 6585394) to existing restaurant space, subject to field inspection (STFI)."
6604418,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/23/2018,"4008 32ND AVE SW
(47.5675572, -122.37195937)",98126,2018,12,Construct interior alterations to an existing single family residence subject to field inspection (STFI)
6604422,Construction,Permit Issued,MULTIFAMILY,12/23/2018,"924 16TH AVE
(47.61120115, -122.31120347)",98122,2018,12,"Alterations to existing multifamily building on the basement level to add a bedroom to unit 104, subject to field inspection."
6604424,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/23/2018,"1048 NE 95TH ST
(47.6978367, -122.31547392)",98115,2018,12,"Demo existing detached garage and establish parking, subject to field inspection (STF)"
6604437,Construction,Permit Issued,MULTIFAMILY,12/23/2018,"5214 RAINIER AVE S
(47.55572787, -122.2823556)",98118,2018,12,"Repair in kind decks on 2nd and 3rd story of an existing MF building, subject to field inspection (STFI)"
6604471,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/05/2019,"2521 9TH AVE W
(47.6413413, -122.36925162)",98119,2019,1,"Repair of existing roof deck, subject to field inspection (STFI)."
6604482,Construction,Permit Issued,COMMERCIAL,12/23/2018,"1013 8TH AVE
(47.60801475, -122.32911502)",98104,2018,12,Construct alterations (demo) in basement for a future shelter subject to field inspection (STFI)
6604501,Construction,Permit Issued,COMMERCIAL,12/23/2018,"1633 WESTLAKE AVE N
(47.63347599, -122.34079306)",98109,2018,12,"Interior alterations to existing tenant space, subject to field inspection (STFI)"
6604531,Construction,Permit Issued,COMMERCIAL,12/23/2018,"101 YESLER WAY
(47.60148186, -122.33380268)",98174,2018,12,Re-roof existing building
6604546,Construction,Permit Issued,INSTITUTIONAL,12/23/2018,"3051 28TH AVE W
(47.64843575, -122.39338182)",98199,2018,12,"Alterations to two basement bathrooms to Magnolia Presbyterian Church, subject to field inspection (STFI)."
6604559,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/23/2018,"2218 E GALER ST
(47.63245383, -122.30272562)",98112,2018,12,"Alterations and additions to existing single family residence, subject to field inspection (STFI)."
6604563,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/23/2018,"3112 S WASHINGTON ST
(47.60116301, -122.29187883)",98144,2018,12,Construct interior non-alterations to existing single family residence subject to field inspection (STFI).
6604578,Construction,Permit Issued,MULTIFAMILY,12/23/2018,"3901 FREMONT AVE N
(47.65434944, -122.35045392)",98103,2018,12,"Alterations to decks to units 301, 303, 401, 403, 501, 503 to Bowdoin Condo, subject to field inspection (STFI)."
6604608,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/23/2018,"7513 32ND AVE SW
(47.53513185, -122.37425222)",98126,2018,12,"Deck addition and alterations to existing single family residence, subject to field inspection (STIF)."
6604623,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/10/2019,"4237 33RD AVE W
(47.65880804, -122.39980871)",98199,2019,1,"Interior alterations to basement of existing single family residence, subject to field inspection (STFI)."
6604700,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/26/2018,"2206 E CALHOUN ST
(47.64120345, -122.30335121)",98112,2018,12,Construct kitchen remodel in an existing single family residence subject to field inspection (STFI)
6604703,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/14/2019,"2208 NE 83RD ST
(47.69000791, -122.30388461)",98115,2019,1,"Non-structural fire damage repair, in kind, to existing single family residence, subject to field inspection (STFI)."
6604713,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/27/2018,"4040 54TH AVE SW
(47.56743655, -122.40130401)",98116,2018,12,"Construct new shed in rear yard accessory to an existing single family residence, subject to field inspection (STFI)."
6604776,Construction,Permit Issued,COMMERCIAL,01/11/2019,"700 5TH AVE
(47.60501319, -122.32989532)",98104,2019,1,"Blanket Permit for interior non-structural alterations on floors: 19, 21 and 22, per plans."
6604780,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/26/2018,"10114 HOLYOKE WAY S
(47.51056381, -122.24945441)",98178,2018,12,"Replace drywall and insulation to main floor of existing single family residence, subject to field inspection (STFI).  Revision 6/30: Add interior stairs to basement, add beam to kitchen, change window to door (south wall), enlarge window, move door (east wall)."
6604785,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/26/2018,"7732 30TH AVE NW
(47.68589689, -122.39542222)",98117,2018,12,"Alterations to exiting single family (basement, main floor kitchen, window well), subject to field inspection (STFI)."
6604793,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/26/2018,"5707 30TH AVE NW
(47.67045333, -122.39595617)",98107,2018,12,"Addition of new side and rear porch for single family residence, subject to field inspection (STFI)."
6604831,Construction,Permit Issued,COMMERCIAL,01/03/2019,"2150 N 122ND ST
(47.71745849, -122.33222401)",98133,2019,1,"Re-roof portions of commercial building (North Seattle Alliance Church), subject to field inspection (STFI)."
6604852,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/26/2018,"133 N 50TH ST
(47.6648419, -122.35562099)",98103,2018,12,"Construct alterations to existing basement in existing single family residence, subject to field inspection (STFI)."
6604861,Construction,Permit Issued,COMMERCIAL,12/26/2018,"2030 1ST AVE
(47.61185895, -122.34341065)",98121,2018,12,"Construct tenant improvements to existing retails space, per (STFI)"
6604973,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"1607 NE 70TH ST
(47.67925616, -122.31048232)",98115,2018,12,"Alterations to enclose garage, finish basment and establish surface parking, subject to field inspection (STFI)."
6605025,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/27/2018,"8137 27TH AVE SW
(47.52900034, -122.36748927)",98126,2018,12,"Construct addition to single family residence, subject to field inspection (STFI)"
6605054,Construction,Permit Issued,COMMERCIAL,12/27/2018,"4754 42ND AVE SW
(47.5596184, -122.38527316)",98116,2018,12,"Remodel prep area of existing grocery store, subject to field inspection (STFI)"
6605070,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/27/2018,"9111 FAUNTLEROY WAY SW
(47.52245832, -122.39362259)",98136,2018,12,"Decomission in-ground pool and remove accessory structure to existing single family residence, subject to field inspection (STFI)."
6605100,Construction,Permit Issued,COMMERCIAL,01/16/2019,"800 5TH AVE
(47.60573523, -122.33029353)",98144,2019,1,"Blanket Permit for interior non-structural alterations for 6th floor-12th floor, per plan."
6605126,Construction,Permit Issued,COMMERCIAL,12/27/2018,"1222 E PINE ST
(47.6153976, -122.31597178)",98122,2018,12,"Alterations to existing restaurant, subject to field inspection (STFI)."
6605237,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"3226 37TH AVE SW
(47.57475781, -122.37785038)",98126,2018,12,"Alterations to existing single family residence (new windows), subject to field inspection (STFI)."
6605241,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"8459 40TH AVE SW
(47.52677655, -122.38318746)",98136,2018,12,"Construct interior structural alterations to existing single fmaily residence, per STFI"
6605265,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"4114 SW THISTLE ST
(47.52871514, -122.38545556)",98136,2018,12,"Construct exterior and interior alterations to existing single family residence, per (STFI)"
6605270,Construction,Permit Issued,COMMERCIAL,01/11/2019,"1441 N 34TH ST
(47.64776401, -122.3392528)",98103,2019,1,Tenant improvements to the 3rd floor of the existing commercial building subject to field inspection (STFI).
6605380,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/29/2018,"335 N 138TH ST
(47.72942206, -122.35407018)",98133,2018,12,"Construct foundation repairs to an existing single family residence, subject to field inspection (STFI)."
6605401,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"414 34TH AVE S
(47.59862202, -122.28856846)",98144,2018,12,"Alterations to two basement bedrooms, replace 5 windows, updated kitchen to single family residence, subject to field inspection (STFI)."
6605403,Construction,Permit Issued,MULTIFAMILY,12/28/2018,"3204 ALKI AVE SW
(47.57581559, -122.41872799)",98116,2018,12,"Construct alterations to an existing condo, Unit 2, of an existing building subject to field inspection (STFI)"
6605409,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"3800 COURTLAND PL S
(47.56964958, -122.28691554)",98118,2018,12,"Replace all siding, wrap windows, and replace sheeting to front and north walls to single family residence, subject to field inspection (STFI)."
6605420,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"6532 43RD AVE NE
(47.67681056, -122.28196201)",98115,2018,12,Construct alterations to deck (like for like) on an existing single family residence subject to field inspection (STFI)
6605425,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/28/2018,"9119 31ST AVE NW
(47.69575882, -122.39714494)",98117,2018,12,"Interior alterations to bathrooms to single family residence, subject to field inspection (STFI)."
6605435,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/12/2019,"349 N 104TH ST
(47.70418373, -122.35329941)",98133,2019,1,Construct alterations (small bumpout/windows) to an existing single family residence subject to field inspection (STFI)
6605515,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/02/2019,"5632 31ST AVE SW
(47.55086231, -122.37195821)",98126,2019,1,"Repair or replace portions of retaining wall accessory to single-family residence, per plan.(2 permits reviewed under 6582255)"
6605537,Construction,Permit Issued,COMMERCIAL,12/29/2018,"1900 9TH AVE
(47.61598241, -122.3344948)",98101,2018,12,"Interior non-structural tenant improvements to existing commercial building (locker rooms/restrooms 11th floor), subject to field inspection (STFI)."
6605571,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/29/2018,"853 NW 64TH ST
(47.67509066, -122.36829128)",98107,2018,12,"Remove and replace existing garage and building same foot print, per (STFI)"
6605575,Construction,Permit Issued,MULTIFAMILY,12/29/2018,"13530 LINDEN AVE N
(47.72841611, -122.34691863)",98133,2018,12,Construct exterior repairs to existing siding per (STFI)
6605596,Construction,Permit Issued,COMMERCIAL,12/29/2018,"5443 BALLARD AVE NW
(47.66832929, -122.38627169)",98107,2018,12,"Construct tenant improvement to existing retail space, per (STFI)"
6605611,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/29/2018,"8421 9TH AVE SW
(47.52767208, -122.34711119)",98106,2018,12,"Kitchen remodel and replace windows on main floor of single family residence and finish basement, subject to field inspection."
6605611,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/29/2018,"8421 9TH AVE SW
(47.52767208, -122.34711119)",98106,2018,12,"Kitchen remodel and replace windows on main floor of single family residence and finish basement, subject to field inspection."
6605631,Construction,Permit Issued,COMMERCIAL,12/29/2018,"14333 AURORA AVE N
(47.7335659, -122.34535637)",98133,2018,12,"Construct tenant improvement to existing retail space, per (STFI)"
6605718,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"110 PREFONTAINE PL S
(47.60159676, -122.32916938)",98104,2018,12,"Interior alterations to existing suite #206 of existing office space, subject to field inspection (STFI)."
6605719,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"2362 W HOWE ST
(47.63606096, -122.38882864)",98199,2018,12,"Interior alterations to existing single family residence, subject to field inspection."
6605767,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"5319 48TH AVE S
(47.55387255, -122.27295739)",98118,2018,12,"Construct alterations to existing single family residence, subject to field inspection (STFI)"
6605778,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"1412 S CLOVERDALE ST
(47.52662239, -122.31422326)",98108,2018,12,"Construct alterations to existing detached garage to add a bathroom to lower floor, Subject to filed inspection (STFI)"
6605804,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"6545 40TH AVE NE
(47.67708827, -122.28524769)",98115,2018,12,"Interior alterations to existing single family residence, subject to field inspection."
6605809,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"8057 14TH AVE NE
(47.68838255, -122.313574)",98115,2018,12,"Construct alterations to enlarge (1) window on the South side of existing single family residence in the basement, subject to field inspection (STFI)"
6605817,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"6009 7TH AVE NW
(47.67270581, -122.36535276)",98107,2018,12,"Construct 1st floor addition to existing single family residence, subject to field inspection (STFI)."
6605823,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/03/2019,"812 16TH AVE
(47.60967473, -122.31119601)",98122,2019,1,"Construct exterior addition and alterations to existing single family residence, per (STFI)"
6605827,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"825 30TH AVE
(47.60976816, -122.29404248)",98122,2018,12,Construct alterations to existing single family residence subject to field inspection (STFI).
6605856,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/30/2018,"7346 20TH AVE NW
(47.68266713, -122.38191961)",98117,2018,12,Construct alterations to the main level of the existing single family residence subject to field inspection (STFI).
6605864,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/11/2019,"9216 3RD AVE NW
(47.6966209, -122.36044037)",98117,2019,1,"Remove and reconstruct detached garage accessory to single family residence, subject to field inspection (STFI)."
6605924,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/03/2019,"8810 10TH AVE SW
(47.52428762, -122.34773055)",98106,2019,1,"Alterations to bathroom in existing single family residence, subject to field inspection (STFI)."
6605953,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/07/2019,"5020 47TH AVE NE
(47.66546205, -122.27708877)",98105,2019,1,"Construct alterations to convert utility room to bathroom in basement of existing single family residence, subject to field inspection."
